metric,mean,ci_low,ci_high,ci_width
accuracy,0.898571,0.879,0.917025,0.038024999999999975
delta_dp,0.17448191431287216,0.15353756808000113,0.1969210599539702,0.04338349187396906
delta_eo,0.18011060012468819,0.11227776981365652,0.24478266705405988,0.13250489724040337
delta_eqodds,0.18221573574002017,0.11477900186788631,0.25103150506975386,0.13625250320186755
