accuracy,accuracy_female,accuracy_male,delta_dp,delta_eo,delta_eqodds,mean_gap,n_train
0.832,0.8333333333333334,0.8304347826086956,0.17803542673107892,0.20830048656436348,0.2133705226116139,0.1999021453023521,500
0.857,0.8444444444444444,0.8717391304347826,0.1838647342995169,0.2316841127859463,0.23807499947661198,0.21787461552069173,1000
0.872,0.8629629629629629,0.8826086956521739,0.1769726247987118,0.23823074182739695,0.2391211179379355,0.21810816152134807,2000
0.874,0.8629629629629629,0.8869565217391304,0.17198067632850242,0.2449552991832169,0.2449552991832169,0.22063042489831208,4000
0.902,0.8962962962962963,0.908695652173913,0.17475040257648952,0.1787958162900567,0.1797828204782804,0.17777634644827556,8000
