,accuracy,delta_dp,delta_eo,delta_eqodds,mean_gap,accuracy_cost
Baseline,0.899,0.17413848631239937,0.17198930401086598,0.17198930401086598,0.17270569811137712,0.0
Seuils DP (α=0.3),0.892,0.17091787439613526,0.158401743531476,0.15949718122030263,0.16293893304930462,0.007000000000000006
Seuils DP (α=0.5),0.894,0.17004830917874397,0.15929400855830422,0.1615328604922781,0.16362505940977543,0.0050000000000000044
Seuils DP (α=0.7),0.893,0.16843800322061192,0.14869036013376027,0.15149739388591596,0.15620858574676275,0.006000000000000005
Seuils optimisés (EO),0.899,0.17413848631239937,0.17198930401086598,0.17198930401086598,0.17270569811137712,0.0
