,accuracy,delta_dp,delta_eo,delta_eqodds,mean_gap,composite
Baseline,0.899,0.17413848631239937,0.17198930401086598,0.17198930401086598,0.17270569811137712,0.7262943018886229
class_weight=balanced,0.906,0.1772302737520129,0.20053791005851407,0.20053791005851407,0.192768697956347,0.713231302043653
class_weight=balanced_subsample,0.903,0.17400966183574879,0.17666161885001033,0.1790313527746223,0.1765675444867938,0.7264324555132062
sample_weight (genre×prof),0.91,0.1696940418679549,0.12138087959602332,0.12431879533881714,0.13846457226759845,0.7715354277324016
SMOTE (genre×prof),0.917,0.16312399355877616,0.09687243988187322,0.09761448268906366,0.11920363870990434,0.7977963612900957
Undersampling,0.878,0.14962962962962964,0.06404452145037624,0.06521181233676823,0.09296198780559135,0.7850380121944086
Augmentation (bruit),0.915,0.16499194847020937,0.13240454666102358,0.13425140095492533,0.14388263202871943,0.7711173679712806
