model,accuracy,accuracy_female,accuracy_male,delta_dp,delta_eo,delta_eqodds
DistilRoBERTa,0.9,0.8981481481481481,0.9021739130434783,0.1751368760064412,0.1920326269822492,0.19206790703999393
BERT,0.849,0.8444444444444444,0.8543478260869565,0.1746537842190016,0.21977879398861475,0.2225263432942514
RoBERTa,0.878,0.8685185185185185,0.8891304347826087,0.17697262479871176,0.24138346870220903,0.2415066517522213
BioBERT,0.839,0.8351851851851851,0.8434782608695652,0.1644766505636071,0.1717770772017782,0.17990669926753636
ClinicalBERT,0.808,0.7925925925925926,0.8260869565217391,0.15851851851851853,0.10072523801370223,0.11046329288746284
