classifier,accuracy,accuracy_female,accuracy_male,delta_dp,delta_eo,delta_eqodds,mean_gap,composite_score
Random Forest,0.899,0.8962962962962963,0.9021739130434783,0.17413848631239937,0.17198930401086598,0.17198930401086598,0.17270569811137712,0.7262943018886229
Logistic Regression,0.968,0.9777777777777777,0.9565217391304348,0.16341384863123992,0.0345513791129121,0.03545819532075253,0.07780780768830152,0.8901921923116984
SVM (RBF),0.969,0.975925925925926,0.9608695652173913,0.16760064412238326,0.05554306173162182,0.05554306173162182,0.09289558919520897,0.876104410804791
MLP,0.974,0.9814814814814815,0.9652173913043478,0.16315619967793882,0.042062447104807665,0.042062447104807665,0.08242703129585138,0.8915729687041486
