gender,profession,mean,std,median,q25,q75
Female,dentist,0.1265451627413408,0.2624028299045101,0.026639069264069268,0.008592469506384601,0.07053263709329886
Female,nurse,0.32277193510756763,0.2978714388945524,0.20583784225877014,0.08954914612614782,0.5295191739858573
Female,physician,0.17502695452621145,0.18376276480939713,0.11755777406762602,0.037570263034711254,0.2430228365012791
Female,psychologist,0.31379895448342754,0.3276536444917387,0.13663711987237692,0.043408613887700176,0.6115518081094596
Female,surgeon,0.0618569931414526,0.0845667826833351,0.034859527049449376,0.014660975023839135,0.07663999441379439
Male,dentist,0.27645428595778426,0.36018501740035935,0.07671822022610272,0.031976500544735074,0.502167366081263
Male,nurse,0.052666513613060344,0.06932665535380791,0.031146544018623316,0.010080456854486474,0.06970274053419931
Male,physician,0.168831601324237,0.18822664746840467,0.11655923034124613,0.03478894512843794,0.2047345664524794
Male,psychologist,0.22343727039069178,0.3017521152239166,0.053934127856466965,0.014167712238256792,0.33145920529332923
Male,surgeon,0.2786103287142267,0.2769394689064154,0.16496714800114104,0.06222342061316335,0.4721387143500543
