metric,value,ci_low,ci_high,note
accuracy,0.89861,0.88,0.916,
delta_dp,0.17477163996692913,0.15361881163537822,0.19594583205686295,🚨 ROBUSTE
delta_eo,0.18103891334922775,0.11216994169689738,0.25052802527340756,🚨 ROBUSTE
delta_eqodds,0.18323696717600094,0.11535732192415463,0.25329275163222176,🚨 ROBUSTE
